	W	Reject null hypothesis
0c5ef022f68ab3de1e81daedbba19a4b	36	True
130bacb2cd27f1e0e33df08f6a7252f3	36	True
d79a2a09499c1397505b8d562676d9f3	35	True
ab22ebbd41f89848e2202a3f4dec39bd	35	True
0e48ed3c23988a7ec84a5975db71fbb8	35	True
038e05a0807346cfd87b1ac6b13fcd50	34	True
4879b66183616fc5bf427c958a1153b8	34	True
f5b309ef0e834082ada549020a71f3a3	33	True
df12ae328e58937ec44578c1fbd906e9	33	True
cc13d71923830255b732ca32696efa37	33	True
7e01d4bfe743d399146a100b9f74e012	31	True
bb0e2e4fcecb1b080cbcbe0853107ae7	31	True
ba0ffa22a8b5f06f25d8bba903d3e796	31	True
fda27b40711b5b528501444f8cb14f52	30	True
4a3e882675351671d13c108c4de99e27	29	True
e14387ac18a2ce9aa8a002a23f22646f	29	True
ae3c0c204e43429679aa9427b1b089f7	29	True
3bc12d597325bf841e9de74c46baf43d	29	True
127c6e402c98297aad717499ee292827	29	True
6a25af261168c9cbd4474cb71ceeca35	29	True
e7154f3ed581a1ce3c3470c1ac3fe37f	29	True
271be62d17a630c1d445092be953cf94	28	True
a762165a1e67602879f692bae79b50bc	28	True
862b00fdd49e10d9380c4d467be3d979	28	True
68faade68b1db926bada132bd9145f1f	27	True
4a8c07d60375b91d915aecc9162f0725	27	True
b5acc8401d2f972938ef07298b68830a	27	True
4b65b10bb183c86db5d701bac1fd447a	27	True
68eb92267ff09e9152d88bf65db30dfe	27	True
c9a2df62be60d9f24f8030f073b1a887	26	True
6520c281ad22f9e467e22bfc65e3db45	26	True
5f4506594e3f36cde9cdc4c3fa07a16f	26	True
acd61138cd8ebee74dc1fca3885a5dc7	26	True
c05f32fe6ee43869fc23e5c1061ee3e9	26	True
c47fb8a498526e03d32f38cf8b3c9b6a	26	True
959ce9f91166d1fdc7316ff6ae88c026	26	True
fdb4cbb58e5541ad267aa59f8cf5e1f0	25	True
2c931095660ef34c315bce560fc34108	25	True
c1df5d2eb382bdd2e912bc60cbd651e6	25	True
559a88142f6b79124c3489fa08d561f1	24	True
07acb87706311083e410f7ece4cc8a2f	24	True
4cbd5044d410e99ad6acce5474293059	24	True
4a1102c1a8b842662206bb18ac5832e7	24	True
cab97d928d0217c93e4522b978a22ce7	24	True
1cee10091e86c52c79367468f9c73371	24	True
e699fac89e55d128f97f5c783c4eeee7	24	True
13ffc6ef288a22f0ba308c94628b2844	24	True
b44c8d12689d28eb891f9878032efb27	24	True
62aa1f3957f754f7b4d472409d4733e7	24	True
5706e5c741f7b44544a7bcae5a789e52	24	True
afbf48619b82a4210b7deca58310f2b3	24	True
dc6a8dc9289951c383734b2e7e9a27a6	24	True
64997bfbad0ff0b4235c253b77d04a8d	23	True
74778fdb339ba6f04968beff2244a403	23	True
06cc2d867dc7c29e8c6ac3975c3073a3	23	True
68e247bec6801a5e064aff58d739c586	23	True
35a9b91d7c03c4e0c82032f63212e148	23	True
4c3cb278e2101a7cfa80f55434b1d53b	23	True
a3b353666e34356dad5623f9a1b8822b	23	True
8fd8ce0e6fdd9e141f950a7dc6eb8de3	23	True
901c55b7a93b5ceb3da2d4ad92989028	23	True
2144ca66fe23036681516ecc511054d5	23	True
7d69bda8ce4934e4721cddcbef4f5389	23	True
e60c0f1f01b175810b19ecadb9d4a7ea	22	True
1807271de57bd28864fa53a5c5502991	22	True
21af2dc264e3e7ba346713cfdc3bbb1f	22	True
700235a82999d97af72948b39dd70421	22	True
9d15d509c2bceb8cb8ed708aa5a3be3a	22	True
33e00400d5a3211775a00fc34ae133ae	22	True
69b21dd0094740604596930e43d06bbb	22	True
67f7c2eb8a7ddd93889fbdc9ca908906	22	True
1967728dc38890588bbea6b54c827295	22	True
5e9e13ac9a6797732afea4a6219ef89a	22	True
00720fa9ada3835eb4000e4434190d17	22	True
850d5d26990ca72d4fb21b63517ce7f0	22	True
d975040ab71a209dd4503456c22196b3	22	True
4b7f7991ca9d97bcd43861ce6b8232e4	22	True
711aad259044257e82dc1cbb0f00b924	22	True
1b450ce2d27fc1b72d3fac6eddcdbf19	22	True
e75476efbba797dba3886b0d8b1b8c4e	21	True
8de5ccece20359e8bbf0c1369a9a7c93	21	True
cfaba0bf80894e7b5c28b3296bd4ef51	21	True
e92b4b24d202ef224fd153ea24e899e6	21	True
e0ec4c17c12d9dc3aea4c31e61cc183a	21	True
4c3dda917f1c67221314c332b60e10a2	21	True
1f620fd0304fdfabe09b053cd2a3c089	21	True
6af749c3b2dca964287bb1a884e135ba	21	True
3c38db3aeadbbe9da32d2b8664cc5972	21	True
37ce4bc0f3e304dbadcbe8b867b84d5a	21	True
baa738ef3c7d70e218cdb6e0203720ff	21	True
7ee629c1fdb78c652ee72447c178c3d6	21	True
d381363bef4da9178f49af0f756d14e4	21	True
21e88b1c5f016ddad292d5d80059e9a4	21	True
4206fb59c224f4806702ac46e0ad4aa7	21	True
b098dbfb8447fe1d85de51c74f917bac	21	True
e63d3a1b4be56cafb0adb3d8d40b580e	21	True
932f430fb569d75eee977dc9b467ec48	21	True
eb6093c060ec40485db05d41b9b47659	21	True
bf58dcf8125c3feb98b8b564419e59fe	21	True
0682bd54709709bce84b2a2249a6c314	21	True
ee111aba0f736d4414eebd440c643244	21	True
91892098f3a09664860aaf9baa21a434	21	True
8f405e95e01266c76c5ae8c8dcd5135e	21	True
1e8a0c59c1bcde179272cc596366ada3	21	True
66fc2d5e03ef8240402ed5d8dc9af43a	20	True
2c91702aa1dcac540446dc66bd19c1e2	20	True
72af373994eb9e0a39b5816074cfaf3e	20	True
40fddcd1ec25a352493ea095baf84372	20	True
c90bb941793d113d6a1fa69db2baa16c	20	True
0f6baed652145a93757de05ef13a5570	20	True
dd636d8c60ebb72892e7fffad7dd6be9	20	True
7f888f9217ac009cf1548238c457cf0c	20	True
6e1c4a5cae8fcfa1efaf1c0c547fc00d	20	True
43f95775700e2d6cad4af7307df5ed3f	20	True
eb5b89d0e735787ff8e8dd7c35451364	20	True
da82ff632d3cd978ae78f6901fec2942	19	True
389ac133097cf1ff47b98bef8c851107	19	True
5a49f0a7520858253df1821af76baeca	19	True
4cb13d9b2a24acdca3e02e753a73ade6	19	True
556fedb46d19d2b31ca0a0ae447de2b5	19	True
ceb48204ce1061ac63d9623e11aa85bf	19	True
e8e4fd58d318341def657823a0690790	19	True
47f8d6d8b9b2f5aaddb43db295f2fe9f	19	True
3d6e67a7a49509f6561482829e737063	19	True
5429c6aba5cbc8fbb0387ae93f239acd	19	True
3cb2a78cf4584e63e0e35b7aaa1f22c7	19	True
5c313b9722d5e69d6de2c973d633e77f	19	True
62e8ecdaeaab3d1f6a16d59f27b3f069	19	True
3f7891f13ea4346bef7797e687e8a11b	19	True
e3ef493a2df7cbeafba2ee557a9a7548	19	True
fde84077179e53007e74897e8c76aef6	19	True
ff26e37a1684488d5c8b473e984707f9	19	True
5fb6ef79882988fe12248fc481e046f4	19	True
9b2aca5508b1d5466c5064e9aa419de6	19	True
