# Constructed from biom file
#OTU ID	Baao_Agri_EUK	Baao_Center_EUK	Baao_Tribu_EUK	Bato_Center_EUK	Bato_Resid_EUK	Bato_Tilap_EUK	Bato_Tribu_EUK	Buhi_Center_EUK	Buhi_Resid_EUK	Buhi_Tilap_EUK	Buhi_Tribu_EUK
Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae;Aulacoseirales	0.0	0.0	8.0	562.0	850.0	1022.0	3346.0	161.0	183.0	161.0	153.0
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales	19.0	51.0	168.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Rhynchostomatia	0.0	0.0	9.0	603.0	2264.0	1055.0	0.0	39.0	12.0	15.0	164.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Filosa-Thecofilosea_X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Fragilariales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1910.0	3379.0	1894.0	2075.0
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida	4.0	12.0	0.0	86.0	179.0	1324.0	1311.0	294.0	2161.0	51.0	1216.0
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Embryophyceae;Embryophyceae_X	0.0	0.0	0.0	16.0	0.0	18.0	5.0	0.0	3.0	0.0	3.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Hydrurales	8700.0	3822.0	3281.0	0.0	419.0	17.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;Porifera;Porifera_X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	0.0	33.0	0.0
Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Elardia;Euamoebida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	8.0	0.0
Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptophyceae_X	0.0	0.0	0.0	257.0	125.0	362.0	34.0	196.0	262.0	104.0	365.0
